Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1n,1n 0603
C2,0603,1,100n,100n 0603
C3,0805,1,10u,
"D1, D2, D3",SOT-23,3,SP0502BAHT,SP0502BAHT
F1,1812,1,1812L150/24,1812L075PR
J1,USB_C_Purple,1,HC-TYPE-C-16P-01A-L,
J2,CONN_SM04B-SRSS-TB_JST,1,SM04B-SRSS-TB,
J3,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
L1,L_TDK_SLF7032,1,6.8uH,SLF7032T-6R8M1R6-2-PF
"Q1, Q2",SOT-23,2,onsemi NTR4503NT1G,NTR4503NT1G
"R1, R11, R13, R5",0603,4,10k,10k 0603
R10,0603,1,470,1M 0603
R12,0603,1,10k,1M 0603
R2,0603,1,1M,1M 0603
"R3, R4",0603,2,0,
"R6, R8",0603,2,12k,1M 0603
R7,0603,1,5.1k,5.1k 0402
R9,0603,1,5.1k,5.1k 0603
"SW1, SW2",SW_MX_LowProfile_THT,2,SW_Push,
U1,rpi_rmc20452t,1,RP Wireless Module 2,
U2,RP2xxx_Stamp_SMD,1,RP2040_Stamp,
